Column1;Column2;Column3;Column4;Column5;Column6;Column7; Column8 ;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31
continent;sub contient;country;Predom. Religion;SOGI-LI;DEMOC.;HAPPINESS; Per capita GDP ;% with tertiary educ.;GRI;Religiosity;SHI;legality of sam-sex sexual-activity;marriage/ civil unions;same-sex coupleadoptions;serving in the military;antidiscrimination laws; gender ID markers;Democracy Status;electoral process and pluralism;funct. Of gov;polit. Particpation;political culture;civil liberties;Satisfaction with GDP per capita;Social support;Healthy life expectancy;Freedom to make life choices;Generosity;Perceptions of corruption
europe;21. W. Europe;United Kingdom;C;10;8,53;6,814;$42.491,36 ;15,31;2,6;27%;6,8;1;1;1;1;1;1;D;9,58;7,5;8,33;5;0,88;0,442;1,073;0,343;0,244;0,083;0,064
asia;8. W. Asia;United Arab Emirates;M;0,56;2,76;6,774;$43.004,95 ;8,54;5,8;91%;1;0;0,33;0;0;0;0;A;0;3,93;2,22;3,13;1,47;1,379;1,331;0,633;0,509;0,098;0,127
europe;17. E. Europe;Ukraine;C;3,67;5,69;4,103;$3.095,17 ;24,55;3,8;46%;7,1;1;0;0;0,5;0,2;0,5;H;6,17;3,21;6,67;;;;;;;;
oceana;polyneisa;Tuvalu;C;1,39;;;$3.700,71 ;;2;;2,8;0,5;0,33;0;0;0;0;;;;;3,13;2,35;;;;;;
asia;9. C. Asia;Turkmenistan;M;0,97;1,72;5,636;$6.966,64 ;;7,9;80%;0,4;0,25;0,33;0;0;0;0;A;0;0,79;2,22;6,25;8,53;0,819;1,493;0,693;0,575;0,096;0,031
asia;13. Eurasia;Turkey;M;3,06;4,37;5,483;$9.311,37 ;5,28;7,1;82%;5,3;1;0,33;0;0;0;0,5;H;4,5;5;5;6,25;5,88;0,9;0,906;0,69;0,271;0,04;0,063
africa;3. N.Africa;Tunisia;M;0,97;6,41;4,592;$3.446,61 ;7,38;;93%;;0,25;0,33;0;0;0;0;F;6,42;5,71;7,78;6,25;6,47;0,429;1,117;0,433;0,406;0,138;0,082
america;7. Caribbean;Trinidad and Tobago;x;2,22;7,16;;$16.843,70 ;6,48;0,8;92%;1,2;1;0,33;0;0;0;0;F;9,58;7,14;6,11;6,88;6,47;0,562;1,047;0,295;0,503;0,221;0,082
oceana;polyneisa;Tonga;C;1,39;;6,192;$4.364,02 ;2,91;1,6;;0,3;0,5;0,33;0;0;0;0;;;;;6,25;5,88;0,186;0,541;0,306;0,531;0,21;0,08
africa;4. W.Africa;Togo;x;0,97;3,1;3,999;$671,84 ;1,51;2,1;80%;0,8;0,25;0,33;0;0;0;0;A;3,17;0,79;3,33;5,63;4,41;0,455;0,991;0,381;0,481;0,27;0,097
africa;4. W.Africa;The Gambia;M;0,97;;;$712,45 ;;0,7;;3;0,25;0,33;0;0;0;0;;;;;5,63;5,59;0,076;0,858;0,267;0,419;0,206;0,03
america;7. Caribbean;The Bahamas;C;3,06;;;;;3;;0;1;0,33;0;0,5;0;0;;;;;5,63;4,41;0,779;0,797;0,669;0,46;0,026;0,074
asia;10. SE. Asia;Thailand;B;6,25;4,63;6,072;$7.273,56 ;10,47;3,4;97%;3,2;1;0,5;0,25;0,5;1;0,5;H;3;4,29;5;3,75;2,94;0,885;1,025;0,553;0,312;0,092;0,107
africa;1. SE.Africa;Tanzania;C;0,97;5,41;3,303;$1.050,68 ;0,36;4,7;89%;2,9;0,25;0,33;0;0;0;0;H;7;5;5;5;2,65;0,308;0,95;0,391;0,452;0,22;0,146
asia;9. C. Asia;Tajikistan;M;3,05;1,93;5,199;$826,62 ;3,74;7,5;85%;2;1;0,33;0;0;0;0,5;A;0,08;0,79;1,67;4,38;2,65;0,535;0,891;0,182;0,454;0,183;0,043
asia;12. E. Asia;Taiwan;B;6,17;7,73;6,441;;;1,7;45%;0,1;1;1;0,5;0,5;0,2;0,5;F;9,58;8,21;6,11;4,38;2,94;0,344;0,792;0,211;0,394;0,185;0,094
asia;8. W. Asia;Syria;M;1,39;1,43;3,462;;2,55;8,3;89%;9;0;0,33;0;0;0;0,5;A;0;0;2,78;5;3,24;0,259;0,474;0,253;0,434;0,158;0,101
europe;19. C. Europe;Switzerland;C;6,22;9,03;7,487;$82.838,93 ;17,88;2,5;41%;4,6;1;0,83;0,5;0,5;0,4;0,5;D;9,58;9,29;7,78;5,63;3,53;;;;;;
europe;20. N. Europe;Sweden;C;10;9,39;7,314;$54.111,97 ;14,93;2,3;17%;4,5;1;1;1;1;1;1;D;9,58;9,64;8,33;6,88;1,18;;;;;;
america;15. S. America;Suriname;x;3,22;6,98;;$5.950,21 ;;0,9;;0;1;0,33;0;0;0,6;0;F;9,17;6,43;6,67;5;2,35;0,091;0,627;0,145;0,065;0,149;0,076
asia;11. S. Asia;Sri Lanka;B;2,64;6,19;4,471;$4.102,48 ;8,51;3,8;99%;5,6;0,5;0,33;0;0,25;0;0,5;F;7,83;5,71;5;3,75;2,65;0,358;0,907;0,053;0,189;0,181;0,06
europe;18. S. Europe;Spain;C;7,5;8,08;6,31;;14,96;4,5;49%;4;1;1;0,5;0,5;1;0,5;D;9,17;7,14;7,78;;;;;;;;
asia;12. E. Asia;South Korea;x;3,06;8;5,875;$31.362,75 ;30,04;2,4;43%;0,8;1;0,33;0;0;0;0,5;D;9,17;7,86;7,22;;;0,256;0,813;0;0,355;0,238;0,053
