Column1;Column2;Column3;Column4;Column5;Column6;Column7; Column8 ;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31
continent;sub contient;country;Predom. Religion;SOGI-LI;DEMOC.;HAPPINESS; Per capita GDP ;% with tertiary educ.;GRI;Religiosity;SHI;legality of sam-sex sexual-activity;marriage/ civil unions;same-sex coupleadoptions;serving in the military;antidiscrimination laws; gender ID markers;Democracy Status;electoral process and pluralism;funct. Of gov;polit. Particpation;political culture;civil liberties;Satisfaction with GDP per capita;Social support;Healthy life expectancy;Freedom to make life choices;Generosity;Perceptions of corruption
america;7. Caribbean;Grenada;C;1,81;;;$10.833,66 ;;2,2;;0;0,75;0,33;0;0;0;0;;;;;4,38;6,18;0,62;1,205;0,622;0,459;0,197;0,074
europe;18. S. Europe;Greece;C;7,78;7,29;5,358;$20.324,25 ;22,5;4,3;71%;5,1;1;0,67;0,5;0,5;1;1;F;9,58;5,36;6,11;4,38;3,53;0,822;1,265;0,645;0,468;0,13;0,134
africa;4. W.Africa;Ghana;C;1,11;6,63;4,657;$2.202,31 ;1,44;1,6;95%;2,6;0,33;0,33;0;0;0;0;F;8,33;5,71;6,67;3,75;7,06;0,806;1,231;0,639;0,461;0,065;0,082
europe;19. C. Europe;Germany;C;8,17;8,68;6,965;$48.195,58 ;13,14;3,2;40%;7,1;1;1;1;0,5;0,4;1;D;9,58;8,57;8,33;5,63;5,59;0,425;1,228;0,539;0,526;0,302;0,078
europe;17. E. Europe;Georgia;C;3,5;5,5;4,34;$4.344,63 ;;3,5;81%;3,1;1;0;0;0;0,6;0,5;H;7,83;3,57;6,11;5,63;7,94;1,21;1,537;0,776;0,354;0,118;0,014
africa;5. C.Africa;Gabon;C;2,22;3,61;4,758;$8.029,82 ;6,3;0,9;;1,1;1;0,33;0;0;0;0;A;2,58;2,21;4,44;6,88;8,82;1,229;1,191;0,909;0,423;0,202;0,035
europe;21. W. Europe;France;C;10;7,8;6,489;$41.463,64 ;10,6;4,9;30%;6;1;1;1;1;1;1;D;9,58;7,5;7,78;4,38;2,65;;;;;;
europe;20. N. Europe;Finland;C;9,17;9,14;7,632;$49.960,25 ;12,35;2,6;28%;1,7;1;1;1;1;1;0,5;D;10;8,93;8,33;7,5;8,53;1,405;1,29;1,03;0,524;0,246;0,291
oceana;melanesia;FijiFiji;C;3,89;5,85;;$6.202,16 ;7,03;1,5;;0,2;1;0,33;0;0;1;0;H;6,58;5,36;6,11;5,63;7,35;0,721;0,747;0,485;0,539;0,172;0,093
africa;2. Horn Africa;Ethiopia;C;0,97;3,35;4,35;$772,31 ;;4,1;100%;3,9;0,25;0,33;0;0;0;0;A;0;3,57;5,56;5;7,65;0,916;0,817;0,79;0,419;0,149;0,032
africa;6. S.Africa;Eswatini (Swaziland);C;0,97;3,03;;$4.139,96 ;;2,4;;0,3;0,25;0,33;0;0;0;0;A;0,92;2,86;2,22;;;;;;;;
europe;20. N. Europe;Estonia;N;9,44;7,97;5,739;$22.927,74 ;18,87;1,2;16%;0,8;1;0,67;1;1;1;1;F;9,58;8,21;6,67;4,38;7,65;1,116;1,219;0,726;0,528;0,088;0,001
africa;2. Horn Africa;Eritrea;C;0,97;2,37;;;;7,6;;0;0,25;0,33;0;0;0;0;A;0;2,14;1,67;6,25;9,12;1,197;1,527;0,716;0,35;0,026;0,006
africa;5. C.Africa;Equatorial Guinea;C;2,22;1,92;;$10.173,96 ;;3,3;;0,8;1;0,33;0;0;0;0;A;0;0,43;3,33;4,38;6,76;1,017;1,279;0,729;0,259;0,111;0,081
america;14. C. America;El Salvador;C;4,22;5,96;6,167;$4.058,24 ;3,92;2;83%;1;1;0,33;0;0,5;0,2;0,5;H;9,17;4,29;5,56;5;7,06;0,914;1,517;0,575;0,395;0,253;0,032
africa;3. N.Africa;Egypt;M;0,97;3,36;4,419;$2.549,14 ;6,65;8;97%;8,5;0,25;0,33;0;0;0;0;A;3,58;3,21;3,33;7,5;8,24;1,398;1,471;0,819;0,547;0,291;0,133
america;15. S. America;Ecuador;C;5,17;6,27;5,973;$6.344,87 ;5,19;2,5;82%;0,4;1;0;0,5;0;0,6;1;F;8,75;5,36;6,11;4,38;6,76;0,889;1,33;0,736;0,556;0,114;0,12
asia;10. SE. Asia;East Timor ;C;2,56;;;;;;;;1;0,33;0;0;0,2;0;;;;;;;;;;;;
america;7. Caribbean;Dominica;C;1,39;6,54;;$7.031,71 ;;1,6;;0;0,5;0,33;0;0;0;0;F;9,17;5,36;6,11;6,88;8,82;1,148;1,454;0,671;0,363;0,092;0,066
africa;2. Horn Africa;Djibouti;M;2,22;2,87;;$2.050,20 ;;4;98%;1,6;1;0,33;0;0;0;0;A;0,42;1,79;3,89;5,63;7,65;0,934;1,249;0,674;0,53;0,092;0,034
europe;20. N. Europe;Denmark;C;10;9,22;7,555;$60.595,58 ;14,98;4;19%;4,4;1;1;1;1;1;1;D;10;9,29;8,33;4,38;7,06;0,775;1,312;0,513;0,643;0,12;0,105
africa;5. C.Africa;Democratic Republic of the Congo;C;1,67;1,49;;$561,78 ;0,46;3;94%;4;1;0;0;0;0;0;A;0,5;0,71;2,22;6,25;7,06;1,171;1,401;0,732;0,259;0,061;0,022
europe;19. C. Europe;Czech Republic;x;6,67;7,69;6,711;$22.973,11 ;7,59;3,3;21%;2,6;1;0,5;0;1;1;0,5;F;9,58;6,79;6,67;7,5;8,82;1,294;1,462;0,988;0,553;0,079;0,15
europe;18. S. Europe;Cyprus;C;4,44;7,59;5,762;$28.159,30 ;20,75;;75%;;1;0,67;0;0;1;0;F;9,17;6,43;6,67;4,38;7,94;1,054;1,515;0,712;0,359;0,064;0,009
america;7. Caribbean;Cuba;C;4,5;3;;;13,32;4,3;34%;0,2;1;0;0;1;0,2;0,5;A;1,08;3,57;3,33;7,5;9,12;1,01;1,459;0,817;0,632;0,143;0,101
europe;19. C. Europe;Croatia;C;6,67;6,57;5,321;$14.869,09 ;11,04;2,4;70%;0,4;1;0;0,5;0,5;1;1;F;9,17;6,07;5,56;;;;;;;;
america;14. C. America;Costa Rica;C;6,08;8,07;7,072;$12.026,55 ;14,69;3,2;79%;0,1;1;0,75;0;0,5;0,4;1;D;9,58;7,5;6,67;3,75;6,18;0,915;1,078;0,758;0,28;0,216;0
asia;Ind. Ocea;Comoros;M;2,08;3,71;;$1.445,45 ;;1,7;97%;1,2;0,25;1;0;0;0;0;A;4,33;2,21;4,44;3,13;4,41;;;;;;
america;15. S. America;Colombia;C;8,17;6,96;6,26;$6.651,29 ;18,55;2;83%;2,2;1;1;1;0,5;0,4;1;F;9,17;6,79;5;5,63;9,12;1,365;1,436;0,857;0,418;0,151;0,078
asia;12. E. Asia;China;N;3,06;3,32;5,246;$9.770,85 ;2,71;1,3;;0,8;1;0,33;0;0;0;0,5;A;0;5;3,89;9,38;9,12;1,42;1,549;0,927;0,66;0,256;0,357
america;15. S. America;Chile;C;6,44;7,97;6,476;$15.923,36 ;5,92;1,3;70%;1,3;1;0,67;0,5;0,5;0,2;1;F;9,58;8,57;4,44;5;5,88;1,016;1,417;0,707;0,637;0,364;0,029
africa;5. C.Africa;Chad;x;0,97;1,61;4,301;$730,24 ;;2,6;95%;7,7;0,25;0,33;0;0;0;0;A;0;0;1,67;5;7,35;0,975;1,369;0,685;0,288;0,134;0,043
africa;5. C.Africa;Central African Republic;C;1,67;1,52;3,083;$509,97 ;0,83;0,5;94%;0;1;0;0;0;0;0;A;2,25;0;1,11;8,13;9,12;1,131;1,331;0,808;0,431;0,197;0,061
africa;4. W.Africa;Cape Verde;C;2,22;7,88;;;22,67;3,2;;5,2;1;0,33;0;0;0;0;F;9,17;7,86;6,67;6,88;8,53;1,233;1,489;0,854;0,543;0,064;0,034
africa;3. N.Africa;Canary Islands;x;6,11;;;;1,64;;;;1;0,67;0,5;0,5;0;1;;;;;5;7,06;1,115;1,161;0,737;0,38;0,12;0,039
america;16. N. America;Canada;C;10;9,15;7,328;$46.124,67 ;1,32;1,2;42%;2,4;1;1;1;1;1;1;D;9,58;9,64;7,78;6,25;8,24;1,219;1,506;0,856;0,633;0,16;0,051
africa;5. C.Africa;Cameroon;x;0,97;3,28;4,975;$1.526,88 ;0,54;2,4;96%;1,5;0,25;0,33;0;0;0;0;A;3,17;2,86;3,33;3,75;7,06;0,751;1,223;0,508;0,606;0,141;0,054
asia;10. SE. Asia;Cambodia;B;1,67;3,59;4,433;$1.512,13 ;;3,4;96%;0,1;1;0;0;0;0;0;A;1,33;5;2,78;7,5;8,82;1,251;1,538;0,965;0,449;0,142;0,074
africa;1. SE.Africa;Burundi;C;0,97;2,33;2,905;$3.654,01 ;13,07;2,4;98%;1,5;0,25;0,33;0;0;0;0;A;0;0,43;3,89;5;7,94;0,94;1,41;0,33;0,516;0,103;0,056
africa;4. W.Africa;Burkina Faso;x;1,67;4,75;4,424;$275,43 ;6,51;1,8;88%;4,3;1;0;0;0;0;0;H;4,42;4,29;4,44;6,88;8,24;1,264;1,501;0,946;0,281;0,137;0,028
europe;18. S. Europe;Bulgaria;C;5,83;7,03;4,933;$731,17 ;;5,3;34%;4,2;1;0;0,5;0,5;1;0,5;F;9,17;6,43;7,22;6,88;8,53;1,154;1,202;0,879;0,131;0;0,044
asia;10. SE. Asia;Brunei;M;0,56;;;$9.272,63 ;;6,9;;2,1;0;0,33;0;0;0;0;;;;;6,25;8,24;1,073;1,468;0,744;0,57;0,062;0,054
america;15. S. America;Brazil;C;8,17;6,97;6,419;$31.627,74 ;5,63;1,3;87%;4,3;1;1;1;0,5;0,4;1;F;9,58;5,36;6,67;5;8,24;0,986;1,474;0,675;0,493;0,11;0,088
africa;6. S.Africa;Botswana;C;3,39;7,81;3,59;$8.920,76 ;2,02;1,3;77%;0;1;0,33;0;0;0,2;0,5;F;9,17;7,14;6,11;5,63;8,24;0,96;1,439;0,635;0,531;0,099;0,039
europe;18. S. Europe;Bosnia and Herzegovina;x;6,11;4,98;5,129;$8.258,64 ;;2,9;77%;3,2;1;0,67;0;0,5;1;0,5;H;6,5;2,93;5,56;7,5;9,41;1,34;1,474;0,861;0,586;0,273;0,28
america;15. S. America;Bolivia`;C;7,5;5,7;5,752;$5.951,32 ;8,43;1;89%;3,9;1;0;0,5;1;1;1;H;7,5;4,64;5,56;10;9,71;1,343;1,644;0,914;0,677;0,353;0,138
asia;11. S. Asia;Bhutan;B;1,39;5,3;5,082;$3.548,59 ;;5,2;;1,3;0,5;0,33;0;0;0;0;H;8,75;6,79;2,78;8,75;9,71;1,576;1,52;0,896;0,632;0,196;0,321
africa;4. W.Africa;Benin;C;2,22;5,74;4,141;$3.360,27 ;2,01;1,2;93%;3,9;1;0,33;0;0;0;0;H;6,5;5,71;5;8,75;8,82;1,27;1,525;0,884;0,645;0,376;0,142
america;14. C. America;Belize;C;3,39;;5,956;$901,95 ;3,18;2,3;62%;0,3;1;0,33;0;0;0,2;0,5;;;;;3,13;6,18;1,038;1,252;0,761;0,479;0,069;0,095
europe;21. W. Europe;Belgium;C;9,25;7,78;6,927;$5.025,18 ;17,69;3,8;33%;2,2;1;1;1;1;0,8;0,75;F;9,58;8,93;5;7,5;9,71;1,093;1,459;0,771;0,625;0,13;0,155
europe;17. E. Europe;Belarus;C;2,92;3,13;5,483;$46.556,10 ;;6,4;34%;1,4;1;0;0;0,25;0;0,5;A;0,92;2,86;3,89;7,5;5,88;1,244;1,433;0,888;0,464;0,262;0,082
america;7. Caribbean;Barbados;C;1,39;;;$6.289,94 ;2,07;3;;0;0,5;0,33;0;0;0;0;;;;;8,75;9,71;1,305;1,592;0,874;0,681;0,202;0,393
asia;11. S. Asia;Bangladesh;M;1,81;5,57;4,5;$1.698,26 ;2,28;5;100%;5,6;0,25;0,33;0;0;0;0,5;H;7,83;5,07;5,56;8,13;9,12;1,361;1,488;0,878;0,638;0,333;0,295
asia;8. W. Asia;Bahrain;M;2,22;2,71;6,105;$24.050,76 ;7,76;5,9;94%;1,3;1;0,33;0;0;0;0;A;0,83;3,21;2,78;6,88;8,82;1,341;1,504;0,891;0,617;0,242;0,224
europe;17. E. Europe;Azerbaijan;M;2,22;2,65;5,201;$4.721,18 ;;;50%;;1;0,33;0;0;0;0;A;0,5;2,14;3,33;6,88;9,12;1,188;1,429;0,884;0,562;0,055;0,017
europe;19. C. Europe;Austria;C;9,17;8,29;7,139;$51.512,91 ;9,37;4,2;55%;3,2;1;1;0,5;1;1;1;D;9,58;7,86;8,33;8,13;10;1,268;1,601;0,876;0,669;0,365;0,389
oceana;22.Oceana;Australia;C;9,17;9,09;7,272;$57.305,30 ;18,52;1,1;32%;2,6;1;1;0,5;1;1;1;D;10;8,93;7,78;8,75;10;1,34;1,573;0,91;0,647;0,361;0,302
america;7. Caribbean;Aruba;C;3,89;;;;;;;;1;0,83;0;0,5;0;0;;;;;6,88;8,53;1,324;1,483;0,894;0,583;0,188;0,24
europe;17. E. Europe;Armenia;C;1,67;4,79;4,321;$4.212,07 ;15,03;;73%;;1;0;0;0;0;0;H;5,67;4,64;5,56;10;10;1,448;1,583;0,876;0,614;0,307;0,306
america;15. S. America;Argentina;C;8,17;7,02;6,388;$11.652,57 ;2,87;2,7;65%;1,8;1;1;1;0,5;0,4;1;F;9,17;5,36;6,11;6,88;8,53;1,2;1,532;0,737;0,553;0,086;0,174
america;7. Caribbean;Antigua and Barbuda;C;1,14;;;$16.864,38 ;;2,2;;0;0,35;0,33;0;0;0;0;;;;;10;9,71;1,456;1,582;0,861;0,686;0,286;0,34
africa;6. S.Africa;Angola;C;3,39;3,62;3,795;$3.432,39 ;;4,1;88%;3,2;1;0,33;0;0;0,2;0,5;A;1,75;2,86;5,56;8,75;10;1,33;1,532;0,896;0,653;0,321;0,291
europe;18. S. Europe;Andorra;C;5,28;;;$42.029,76 ;;2,4;;0;1;0,67;0,5;0;1;0;;;;;10;9,41;1,355;1,501;0,913;0,659;0,285;0,383
africa;3. N.Africa;Algeria;M;1,39;3,5;5,295;$4.278,85 ;6,66;8;95%;6,3;0,5;0,33;0;0;0;0;A;2,58;2,21;3,89;9,38;9,12;1,351;1,59;0,868;0,683;0,284;0,408
europe;18. S. Europe;Albania;M;4,72;5,98;4,586;$5.253,63 ;0,93;1,6;39%;0,1;1;0,33;0;0,5;1;0;H;7;4,71;5,56;8,13;9,12;1,301;1,559;0,883;0,533;0,354;0,272
asia;9. C. Asia;Afghanistan;M;0,56;2,97;3,632;$520,90 ;;6,5;97%;6,9;0;0,33;0;0;0;0;A;2,92;1,14;4,44;5,63;8,53;1,293;1,466;0,908;0,52;0,098;0,176
